time,program
4.432317235999996,A0
8.896620260000006,A2
13.354637877000002,A1
20.061274596999993,(ite (>= -1 var0) A2 A2)
26.675870659999987,(ite (>= -1 var0) A2 A0)
33.352115453999986,(ite (>= -1 var0) A2 A1)
39.99891188999999,(ite (>= -1 var0) A0 A2)
46.664204256999994,(ite (>= -1 var0) A0 A0)
53.35740862599998,(ite (>= -1 var0) A0 A1)
60.00183069099998,(ite (>= -1 var0) A1 A2)
66.67660751899999,(ite (>= -1 var0) A1 A0)
73.35924365699998,(ite (>= -1 var0) A1 A1)
80.088551322,(ite (>= -1 -5) A2 A2)
86.68533817400001,(ite (>= -1 -5) A2 A0)
93.31986942099999,(ite (>= -1 -5) A2 A1)
99.91992691399997,(ite (>= -1 -5) A0 A2)
106.53235139699996,(ite (>= -1 -5) A0 A0)
113.18892368499993,(ite (>= -1 -5) A0 A1)
119.79478590099995,(ite (>= -1 -5) A1 A2)
126.43642836699993,(ite (>= -1 -5) A1 A0)
133.05252430999994,(ite (>= -1 -5) A1 A1)
139.76036416099993,(ite (>= -1 -1) A2 A2)
146.41150179699994,(ite (>= -1 -1) A2 A0)
153.07296419399992,(ite (>= -1 -1) A2 A1)
159.71674965999992,(ite (>= -1 -1) A0 A2)
166.37430063399992,(ite (>= -1 -1) A0 A0)
173.03587158099992,(ite (>= -1 -1) A0 A1)
179.70894395299993,(ite (>= -1 -1) A1 A2)
186.34948695699995,(ite (>= -1 -1) A1 A0)
193.03349545499998,(ite (>= -1 -1) A1 A1)
199.75002569499998,(ite (>= -1 -2) A2 A2)
206.37329687199997,(ite (>= -1 -2) A2 A0)
212.98319433399996,(ite (>= -1 -2) A2 A1)
219.58752165599998,(ite (>= -1 -2) A0 A2)
226.21627340999999,(ite (>= -1 -2) A0 A0)
232.82717737099995,(ite (>= -1 -2) A0 A1)
239.46779806299992,(ite (>= -1 -2) A1 A2)
246.10722662599989,(ite (>= -1 -2) A1 A0)
252.7651688019999,(ite (>= -1 -2) A1 A1)
259.4649049779998,(ite (>= -1 5) A2 A2)
266.0655872259999,(ite (>= -1 5) A2 A0)
