time,program
4.411838159000581,A0
8.80919102900043,A2
13.199924311000359,A1
19.72767108300104,(ite (>= var0 var0) A2 A2)
26.204830614000457,(ite (>= var0 var0) A2 A0)
32.71464722200017,(ite (>= var0 var0) A2 A1)
39.183335097000054,(ite (>= var0 var0) A0 A2)
45.693485140999655,(ite (>= var0 var0) A0 A0)
52.17557364500044,(ite (>= var0 var0) A0 A1)
58.640582272000756,(ite (>= var0 var0) A1 A2)
65.09398257300109,(ite (>= var0 var0) A1 A0)
71.60911756600035,(ite (>= var0 var0) A1 A1)
78.13593366600071,(ite (>= var0 var1) A2 A2)
84.59471172400026,(ite (>= var0 var1) A2 A0)
91.04971613700127,(ite (>= var0 var1) A2 A1)
97.55607744100143,(ite (>= var0 var1) A0 A2)
104.07969222400152,(ite (>= var0 var1) A0 A0)
110.5728974850017,(ite (>= var0 var1) A0 A1)
117.02848218800136,(ite (>= var0 var1) A1 A2)
123.5271926580017,(ite (>= var0 var1) A1 A0)
129.99475353900198,(ite (>= var0 var1) A1 A1)
136.51434660600262,(ite (>= var1 var0) A2 A2)
143.02613644800294,(ite (>= var1 var0) A2 A0)
149.47857128300257,(ite (>= var1 var0) A2 A1)
155.95189753200248,(ite (>= var1 var0) A0 A2)
162.47583231900353,(ite (>= var1 var0) A0 A0)
168.9602220570032,(ite (>= var1 var0) A0 A1)
175.4376462870032,(ite (>= var1 var0) A1 A2)
181.94096478700249,(ite (>= var1 var0) A1 A0)
188.45969333200173,(ite (>= var1 var0) A1 A1)
194.97067674500158,(ite (>= var1 var1) A2 A2)
201.52149036800074,(ite (>= var1 var1) A2 A0)
208.00594364500012,(ite (>= var1 var1) A2 A1)
214.50132226299957,(ite (>= var1 var1) A0 A2)
221.06310490399937,(ite (>= var1 var1) A0 A0)
227.60141631999886,(ite (>= var1 var1) A0 A1)
234.10371804899933,(ite (>= var1 var1) A1 A2)
240.61900491899996,(ite (>= var1 var1) A1 A0)
247.21109868699932,(ite (>= var1 var1) A1 A1)
254.25272624499848,(ite (not (>= var0 var0)) A2 A2)
261.2697181789981,(ite (not (>= var0 var0)) A2 A0)
268.2956873739977,(ite (not (>= var0 var0)) A2 A1)
275.288480858997,(ite (not (>= var0 var0)) A0 A2)
282.2878451569959,(ite (not (>= var0 var0)) A0 A0)
289.2923588159965,(ite (not (>= var0 var0)) A0 A1)
296.30558401899634,(ite (not (>= var0 var0)) A1 A2)
303.26787552699625,(ite (not (>= var0 var0)) A1 A0)
310.28329103399574,(ite (not (>= var0 var0)) A1 A1)
317.2942023999958,(ite (not (>= var0 var1)) A2 A2)
324.22469508399627,(ite (not (>= var0 var1)) A2 A0)
331.18389245699655,(ite (not (>= var0 var1)) A2 A1)
338.1861741229968,(ite (not (>= var0 var1)) A0 A2)
345.18951676199686,(ite (not (>= var0 var1)) A0 A0)
352.1544603489965,(ite (not (>= var0 var1)) A0 A1)
359.14237354699617,(ite (not (>= var0 var1)) A1 A2)
366.12134715099637,(ite (not (>= var0 var1)) A1 A0)
373.14212217899603,(ite (not (>= var0 var1)) A1 A1)
380.16162008699575,(ite (not (>= var1 var0)) A2 A2)
387.1352815079972,(ite (not (>= var1 var0)) A2 A0)
394.15944540299824,(ite (not (>= var1 var0)) A2 A1)
401.13920665799833,(ite (not (>= var1 var0)) A0 A2)
408.1780540009986,(ite (not (>= var1 var0)) A0 A0)
415.1706570159977,(ite (not (>= var1 var0)) A0 A1)
422.18256092799766,(ite (not (>= var1 var0)) A1 A2)
428.91882483899826,(ite (not (>= var1 var0)) A1 A0)
435.68564186899766,(ite (not (>= var1 var0)) A1 A1)
442.45094552299724,(ite (not (>= var1 var1)) A2 A2)
449.16540436399737,(ite (not (>= var1 var1)) A2 A0)
455.94400858399695,(ite (not (>= var1 var1)) A2 A1)
462.7096779339972,(ite (not (>= var1 var1)) A0 A2)
469.4990789429976,(ite (not (>= var1 var1)) A0 A0)
476.26521281299756,(ite (not (>= var1 var1)) A0 A1)
483.0479451809979,(ite (not (>= var1 var1)) A1 A2)
489.81293477099825,(ite (not (>= var1 var1)) A1 A0)
496.6104271369986,(ite (not (>= var1 var1)) A1 A1)
503.91005585199855,(ite (>= var0 (sign var0)) A2 A2)
511.14798182199866,(ite (>= var0 (sign var0)) A2 A0)
518.4086470049988,(ite (>= var0 (sign var0)) A2 A1)
525.656795803,(ite (>= var0 (sign var0)) A0 A2)
532.9671712199997,(ite (>= var0 (sign var0)) A0 A0)
540.1791437189995,(ite (>= var0 (sign var0)) A0 A1)
547.4374961989997,(ite (>= var0 (sign var0)) A1 A2)
554.5772406509996,(ite (>= var0 (sign var0)) A1 A0)
561.7919307989996,(ite (>= var0 (sign var0)) A1 A1)
568.9338766129995,(ite (>= var0 (sign var1)) A2 A2)
576.0531134699995,(ite (>= var0 (sign var1)) A2 A0)
583.1675199950005,(ite (>= var0 (sign var1)) A2 A1)
590.2961411310007,(ite (>= var0 (sign var1)) A0 A2)
674.8239697680001,(ite (>= var0 (sign (sign var1))) A0 A2)
817.4159602640066,(ite (not (not (>= var0 (sign var1)))) A0 A2)
837.1451696960057,(ite (not (not (>= (sign var1) var0))) A2 A0)
869.8720520880161,(ite (not (>= var0 (sign (sign var1)))) A2 A0)
987.0952658330152,(ite (not (>= (sign (sign var1)) var0)) A0 A2)
1083.0692191200096,(ite (>= var0 (sign (sign (sign var1)))) A0 A2)
1095.716755310009,(ite (>= var0 (sign (- (- var1)))) A0 A2)
1109.5285644050055,(ite (>= var0 (- (sign (- var1)))) A0 A2)
1115.550956298006,(ite (>= var0 (- (- (sign var1)))) A0 A2)
1335.3646439119984,(ite (>= (sign var1) (+ var0 var1)) A2 A0)
1486.0555870600238,(ite (>= (+ var0 var1) (sign var1)) A0 A2)
1492.9435186120236,(ite (>= (+ var1 var0) (sign var1)) A0 A2)
2550.016807583047,(ite (not (>= (+ var0 var1) (sign var1))) A2 A0)
2557.3146225570445,(ite (not (>= (+ var1 var0) (sign var1))) A2 A0)
3075.260652473069,(ite (>= var0 (+ (sign var1) (- var1))) A0 A2)
3083.8861247490668,(ite (>= var0 (+ (- var1) (sign var1))) A0 A2)
3564.0224966570922,(ite (>= var1 (+ (sign var1) (- var0))) A0 A2)
3576.2929132131057,(ite (>= var1 (+ (- var0) (sign var1))) A0 A2)
3596.832643847115,(ite (>= var1 (+ (- var0) (sign var1))) A0 A2)
