time,program
6.3550189819998195,(ite (>= 1 -3) A0 A1)
12.776865167999631,(ite (>= 4 -3) A2 A1)
22.488503928999762,(ite (>= (* (- 3) 0) 4) (ite (>= 5 4) A0 A0) A1)
32.262160547999656,(ite (>= (* (- 0) 0) 4) (ite (>= 5 4) A0 A0) A1)
42.548515776999466,(ite (>= (+ (sign 3) 2) 5) (ite (>= 5 4) A0 A0) A1)
52.898372013999506,(ite (>= (+ -4 (sign -4)) -4) (ite (>= -4 5) A1 A1) A1)
59.36366581299967,(ite (>= -2 -2) A2 A0)
69.64158837199966,(ite (>= (* (sign -2) 5) 4) (ite (>= 5 4) A0 A0) A1)
76.0377796799994,(ite (>= 4 -5) A0 A1)
87.09549011999934,(ite (>= (+ (sign -3) var0) 5) (ite (>= 5 4) A0 A0) A1)
96.31263959199919,(ite (not (>= (sign 0) (+ -4 (- 3)))) A1 A2)
108.38796184399916,(ite (not (not (>= (sign (sign -5)) var0))) A1 (ite (>= var0 1) A0 A2))
117.24322571899916,(ite (not (>= (- 5) (+ -3 (- 0)))) A1 A2)
129.26728243699927,(ite (not (not (>= (sign (sign 1)) var0))) A1 (ite (>= var0 1) A0 A2))
138.08740100399928,(ite (not (>= (- -4) (+ -3 (- 0)))) A1 A2)
150.11230584299938,(ite (not (not (>= (sign (sign -2)) var0))) A1 (ite (>= var0 1) A0 A2))
160.74824049299923,(ite (not (not (>= (- -2) (- -1)))) A1 (ite (>= var0 1) A0 A2))
171.31047811399935,(ite (not (not (>= (- 4) (- -1)))) A1 (ite (>= var0 1) A0 A2))
181.94634820599958,(ite (not (not (>= (- var0) (- -1)))) A1 (ite (>= var0 1) A0 A2))
192.55186930499985,(ite (not (not (>= (- -5) (- -1)))) A1 (ite (>= var0 1) A0 A2))
201.0413513640001,(ite (>= 0 4) A2 (ite (>= -1 -3) A2 A0))
209.22425139100005,(ite (>= -4 (sign (sign var1))) A0 A1)
218.2316644660002,(ite (>= var0 (sign (sign -3))) A0 A1)
226.76177167100013,(ite (>= 0 var1) A2 (ite (>= -1 -3) A2 A0))
234.0002218100003,(ite (>= -2 (+ -5 -2)) A1 A1)
242.5157538010003,(ite (>= -3 -5) A2 (ite (>= -1 -3) A2 A0))
251.06241215100044,(ite (>= var0 -2) A2 (ite (>= -1 -3) A2 A0))
259.5642704440004,(ite (>= var1 4) A2 (ite (>= -1 -3) A2 A0))
268.0461500100005,(ite (>= 3 2) A2 (ite (>= -1 -3) A2 A0))
276.5106753730006,(ite (>= var1 -5) A2 (ite (>= -1 -3) A2 A0))
285.9692709130006,(ite (>= 3 -4) (ite (>= -1 (sign 0)) A0 A0) A2)
295.4979686020006,(ite (>= 3 -3) (ite (>= -1 (sign 0)) A0 A0) A2)
