time,program
6.322476881000014,(ite (>= var1 var0) A0 A1)
12.734487704000017,(ite (>= var0 var1) A2 A1)
22.969801964000013,(ite (not (>= var0 (sign (- var0)))) (ite (>= var1 var0) A2 A0) A1)
29.394404088,(ite (>= var0 var0) A0 A1)
35.702474648999996,(ite (>= var1 var1) A0 A1)
45.583956310999994,(ite (not (not (>= (- var0) var0))) (ite (>= var1 var0) A2 A0) A1)
51.938849698,(ite (>= var1 var1) A2 A1)
61.499341959999995,(ite (not (>= var1 (+ var0 var1))) (ite (>= var1 var0) A2 A0) A1)
71.82691190999999,(ite (not (>= var1 (sign (- var1)))) (ite (>= var1 var0) A2 A0) A1)
81.76405830099999,(ite (not (not (not (>= var1 var1)))) (ite (>= var1 var0) A2 A0) A1)
91.948763889,(ite (>= var0 var0) A1 (ite (>= var1 (sign (sign var0))) A1 A1))
101.87265818599998,(ite (>= var0 var0) A0 (ite (not (>= (sign var1) var0)) A1 A0))
110.90131598799998,(ite (>= var1 var0) A1 (ite (>= (+ var0 var1) var0) A2 A1))
120.35644055399997,(ite (>= var1 var1) A1 (ite (>= (- (- var1)) var0) A2 A1))
130.508762002,(ite (>= var1 var0) A2 (ite (>= var0 (sign (sign var0))) A1 A1))
140.735419951,(ite (>= var0 var0) A2 (ite (>= var0 (sign (sign var0))) A1 A1))
150.873307332,(ite (>= var0 var1) A0 (ite (>= var1 (sign (sign var0))) A1 A1))
161.018207818,(ite (>= var1 var1) A0 (ite (>= var1 (sign (sign var0))) A1 A1))
170.43203348,(ite (>= var1 var0) A1 (ite (not (>= (- var1) var0)) A1 A0))
180.611145191,(ite (>= var1 var1) A1 (ite (>= var1 (sign (sign var0))) A1 A1))
188.431120254,(ite (and (>= var0 var1) (>= var1 var0)) A0 A0)
196.34487867,(ite (and (>= var0 var0) (>= var1 var0)) A0 A0)
204.60567836600006,(ite (>= (* var0 (- (- var1))) var1) A2 A2)
213.2899389040001,(ite (>= (+ (- (sign var1)) var1) var1) A0 A0)
219.65211482000007,(ite (>= var0 var1) A1 A0)
227.65239478000007,(ite (>= (+ var0 (* var1 var1)) var1) A2 A2)
235.56636104500012,(ite (or (>= var1 var0) (>= var1 var1)) A0 A0)
241.9640692970001,(ite (>= var1 var0) A1 A0)
249.9651916250001,(ite (or (>= var1 var1) (>= var1 var1)) A0 A0)
257.9828068040001,(ite (or (>= var0 var0) (>= var1 var1)) A0 A0)
267.98225439700013,(ite (>= var1 var1) A0 (ite (or (>= var0 var0) (>= var0 var0)) A0 A1))
277.95739529500014,(ite (>= var0 var0) A0 (ite (or (>= var1 var1) (>= var0 var0)) A0 A1))
288.1285441100002,(ite (>= var0 var1) A1 (ite (>= var1 (+ (- var0) (- var1))) A0 A1))
298.75113125600024,(ite (>= var0 var1) (ite (not (>= (* var1 var0) (sign var1))) A0 A0) A0)
309.02713329800025,(ite (>= var1 var0) A2 (ite (>= var0 (+ (- var0) (- var0))) A0 A1))
319.34894053200026,(ite (>= var1 var0) A2 (ite (>= var0 (+ (- var1) (- var1))) A0 A1))
329.3394828980002,(ite (>= var0 var1) A0 (ite (or (>= var0 var0) (>= var0 var0)) A0 A1))
339.9640031430002,(ite (>= var0 var1) (ite (not (>= (* var0 var0) (sign var1))) A0 A0) A0)
349.8342626250002,(ite (>= var1 var0) A0 (ite (or (>= var1 var1) (>= var0 var0)) A0 A1))
360.5141521090001,(ite (>= var1 var1) (ite (not (>= (* var0 var0) (sign var1))) A0 A0) A0)
370.4190871970001,(ite (>= var1 var0) A0 (ite (>= (- (- var1)) (- var0)) A2 A2))
380.35891410000016,(ite (>= var0 var0) A0 (ite (>= (- (- var1)) (- var0)) A2 A2))
390.35433775700017,(ite (>= var1 var1) A2 (ite (>= (- (- var1)) (- var0)) A2 A2))
400.37523690200027,(ite (>= var1 var0) A2 (ite (>= (- (- var0)) (- var0)) A2 A2))
410.8006509670003,(ite (>= var0 var1) A0 (ite (>= (- var1) (sign (- var0))) A0 A0))
421.50366579500036,(ite (>= var1 var0) A1 (ite (>= (sign var0) (sign (- var0))) A0 A0))
431.4898709990004,(ite (>= var0 var0) A2 (ite (>= (- (- var1)) (- var0)) A2 A2))
441.8995464760004,(ite (>= var1 var0) A0 (ite (>= (- var1) (sign (- var0))) A0 A0))
452.6568687660004,(ite (>= var0 var1) A1 (ite (>= (sign var0) (sign (- var0))) A0 A0))
463.3591548570004,(ite (>= var0 var1) A2 (ite (>= (sign var0) (sign (- var0))) A0 A0))
471.47463581400035,(ite (>= (+ (sign var1) var0) var1) A1 A1)
479.0025874480004,(ite (>= (- var1) (* var0 var0)) A2 A2)
486.52756685500043,(ite (not (>= (+ var0 var1) var0)) A1 A1)
