time,program
6.386589625999989,(ite (>= var0 var1) A1 A1)
12.668870264999995,(ite (>= var0 var0) A1 A2)
18.97955920599999,(ite (>= var1 var1) A1 A2)
25.361222886999983,(ite (>= var1 var1) A0 A0)
31.703310214,(ite (>= var1 var0) A0 A0)
38.002433498,(ite (>= var0 var1) A2 A0)
44.37553783199998,(ite (>= var0 var1) A0 A0)
55.573110597999985,(ite (>= (+ var0 (sign (+ (sign var0) (- (+ var0 var0))))) var0) A0 A0)
61.96368970199997,(ite (>= var1 var1) A1 A1)
73.24932134299995,(ite (>= (+ var0 (sign (+ (sign var1) (- (+ var0 var0))))) var0) A0 A0)
82.62764050999998,(ite (>= (+ var1 var1) (sign (+ var1 (- var0)))) A0 A1)
88.92824788299997,(ite (>= var1 var0) A2 A0)
98.42102476999996,(ite (>= (+ var0 var1) (sign (+ var0 (- var1)))) A1 A1)
107.82017629899998,(ite (>= (+ var0 var0) (sign (+ var0 (- var0)))) A1 A1)
117.233700396,(ite (>= (+ var0 var0) (sign (+ var0 (- var1)))) A0 A1)
126.63643978399999,(ite (>= (+ var1 var0) (sign (+ var0 (- var0)))) A1 A1)
135.99410584599997,(ite (>= (+ var0 var1) (sign (+ var0 (- var1)))) A0 A1)
145.42001594299995,(ite (>= (+ var0 var1) (sign (+ var1 (- var0)))) A0 A1)
154.79630660699996,(ite (>= (+ var1 var0) (sign (+ var0 (- var0)))) A0 A1)
164.1546662,(ite (>= (+ var0 var0) (sign (+ var0 (- var0)))) A0 A1)
171.298829188,(ite (>= (+ var1 var1) var0) A2 A2)
178.37938232199997,(ite (>= (+ var1 var1) var0) A0 A0)
185.24450863699997,(ite (>= (- var1) var1) A0 A0)
192.320420626,(ite (>= (+ var0 var0) var0) A2 A2)
199.42102255299994,(ite (>= (+ var1 var1) var1) A2 A2)
205.71889147399992,(ite (>= var1 var0) A1 A1)
212.55471822599992,(ite (>= (- var1) var1) A2 A2)
219.35251945699991,(ite (>= (- var0) var1) A0 A2)
226.18746863799993,(ite (>= (- var0) var0) A0 A1)
233.32580527099992,(ite (>= (+ var0 var1) var0) A2 A2)
239.6451035859999,(ite (>= var0 var0) A2 A1)
250.00773928099983,(ite (>= (+ var1 (sign (+ var1 (- (+ var0 var1))))) var1) A1 A2)
260.1666978819998,(ite (>= (- var1) var1) A1 A2)
309.99446491399965,(ite (>= (- var1) var1) A0 A2)
344.92215345899956,(ite (>= var1 (* var1 var1)) A2 A0)
358.2732726769993,(ite (>= (+ var1 var0) (sign var1)) A0 A2)
363.04327344099926,(ite (>= (+ var0 var1) (sign var1)) A0 A2)
448.3994705820003,(ite (>= (+ var0 var1) (sign (+ var1 (sign (+ var0 (- var0)))))) A0 A2)
456.30505971000014,(ite (>= (+ var1 var0) (sign (+ var1 (sign (+ var0 (- var0)))))) A0 A2)
518.0320811900003,(ite (>= (sign (+ var1 (sign (+ var0 (- var0))))) (+ var0 var1)) A2 A0)
547.8155382300012,(ite (>= (sign var1) (+ var1 var0)) A2 A0)
627.4214514570001,(ite (>= (sign (+ var1 (sign (+ var1 (- var1))))) (+ var1 var0)) A2 A0)
719.3144652559986,(ite (>= (+ var1 (sign (+ (sign var1) (- (+ var0 var1))))) var0) A2 A0)
725.7956148709985,(ite (>= (+ var1 (sign (+ (sign var1) (- (+ var1 var0))))) var0) A2 A0)
739.2033918989983,(ite (>= (+ var0 (sign (+ (sign var1) (- (+ var0 var1))))) var0) A2 A0)
750.129820859998,(ite (>= (+ var1 (sign (+ (sign var1) (- (+ var0 var1))))) var1) A2 A0)
770.3379220449978,(ite (>= (sign (+ var1 (sign (+ var1 (- var1))))) (+ var0 var1)) A2 A0)
894.9157959709938,(ite (>= (sign var1) (+ var0 var1)) A2 A0)
932.1433166999946,(ite (>= (+ var0 (sign (+ (sign var1) (- (+ var1 var0))))) var0) A2 A0)
1326.493235293992,(ite (>= (sign (+ var1 (sign (+ var0 (- var0))))) (+ var1 var0)) A2 A0)
1495.1606142759908,(ite (>= (sign (+ var1 (sign (+ var0 (- var0))))) (+ var1 var0)) A2 A0)
