time,program
4.315823124000019,A0
8.655504557,A2
13.020493155999986,A1
19.58452631899999,(ite (>= var0 var0) A2 A2)
26.111249862999955,(ite (>= var0 var0) A2 A0)
32.64558289499996,(ite (>= var0 var0) A2 A1)
39.18451702499999,(ite (>= var0 var0) A0 A2)
45.81272741199999,(ite (>= var0 var0) A0 A0)
52.325620498000006,(ite (>= var0 var0) A0 A1)
58.89728542200001,(ite (>= var0 var0) A1 A2)
65.454822202,(ite (>= var0 var0) A1 A0)
72.05011564,(ite (>= var0 var0) A1 A1)
78.65526028600001,(ite (>= var0 var1) A2 A2)
85.131114879,(ite (>= var0 var1) A2 A0)
91.63011020299996,(ite (>= var0 var1) A2 A1)
98.10576828699999,(ite (>= var0 var1) A0 A2)
104.67501981699996,(ite (>= var0 var1) A0 A0)
111.114229962,(ite (>= var0 var1) A0 A1)
117.57335458099999,(ite (>= var0 var1) A1 A2)
124.04918144999994,(ite (>= var0 var1) A1 A0)
130.60253537199992,(ite (>= var0 var1) A1 A1)
137.1838561379999,(ite (>= var1 var0) A2 A2)
143.6845503009999,(ite (>= var1 var0) A2 A0)
150.1346443199999,(ite (>= var1 var0) A2 A1)
156.61724747499989,(ite (>= var1 var0) A0 A2)
163.20292918799993,(ite (>= var1 var0) A0 A0)
169.6915914079999,(ite (>= var1 var0) A0 A1)
176.13879113699988,(ite (>= var1 var0) A1 A2)
182.61470324899983,(ite (>= var1 var0) A1 A0)
189.16761391299985,(ite (>= var1 var0) A1 A1)
195.7803071529998,(ite (>= var1 var1) A2 A2)
202.2856627029998,(ite (>= var1 var1) A2 A0)
208.8441037939998,(ite (>= var1 var1) A2 A1)
215.40114728199984,(ite (>= var1 var1) A0 A2)
222.01154951199987,(ite (>= var1 var1) A0 A0)
228.56218452099984,(ite (>= var1 var1) A0 A1)
235.08756950399982,(ite (>= var1 var1) A1 A2)
241.62051509299977,(ite (>= var1 var1) A1 A0)
248.16843254499975,(ite (>= var1 var1) A1 A1)
255.27766269899973,(ite (>= (- var0) var0) A2 A2)
262.32045254299976,(ite (>= (- var0) var0) A2 A0)
269.28576068799975,(ite (>= (- var0) var0) A2 A1)
276.1945006169998,(ite (>= (- var0) var0) A0 A2)
283.1851193399998,(ite (>= (- var0) var0) A0 A0)
290.1016282979998,(ite (>= (- var0) var0) A0 A1)
296.98285090499974,(ite (>= (- var0) var0) A1 A2)
303.9127535089998,(ite (>= (- var0) var0) A1 A0)
310.86826766499985,(ite (>= (- var0) var0) A1 A1)
317.80381715199974,(ite (>= (- var0) var1) A2 A2)
324.6341560259997,(ite (>= (- var0) var1) A2 A0)
331.45329236099974,(ite (>= (- var0) var1) A2 A1)
338.2562226729997,(ite (>= (- var0) var1) A0 A2)
345.25412135099975,(ite (>= (- var0) var1) A0 A0)
352.1095015349997,(ite (>= (- var0) var1) A0 A1)
358.9302994569998,(ite (>= (- var0) var1) A1 A2)
365.77367944299976,(ite (>= (- var0) var1) A1 A0)
372.7173029579998,(ite (>= (- var0) var1) A1 A1)
379.7310165629997,(ite (>= (- var1) var0) A2 A2)
386.52176595499975,(ite (>= (- var1) var0) A2 A0)
393.30393550999975,(ite (>= (- var1) var0) A2 A1)
400.0606658539998,(ite (>= (- var1) var0) A0 A2)
406.9127871479998,(ite (>= (- var1) var0) A0 A0)
413.6828565789999,(ite (>= (- var1) var0) A0 A1)
420.4830082379998,(ite (>= (- var1) var0) A1 A2)
427.24420791299974,(ite (>= (- var1) var0) A1 A0)
434.12034777099973,(ite (>= (- var1) var0) A1 A1)
441.03228292699976,(ite (>= (- var1) var1) A2 A2)
447.8968857629998,(ite (>= (- var1) var1) A2 A0)
454.70996662599964,(ite (>= (- var1) var1) A2 A1)
461.52346381699965,(ite (>= (- var1) var1) A0 A2)
479.38356483399934,(ite (>= var0 (+ var0 var1)) A0 A2)
491.15086861199904,(ite (>= var1 (* var0 var1)) A2 A0)
500.5963699339992,(ite (>= var1 (* var1 var1)) A2 A0)
531.0519858010008,(ite (>= (+ var0 var1) var0) A2 A0)
536.2879810170008,(ite (>= (+ var1 var0) var0) A2 A0)
542.0893529300012,(ite (>= (+ var1 var1) var1) A2 A0)
550.0979901310026,(ite (>= (sign var1) (+ var0 var1)) A2 A0)
555.2828045500028,(ite (>= (sign var1) (+ var1 var0)) A2 A0)
567.939313158002,(ite (>= (+ var0 var1) (sign var1)) A0 A2)
573.8095625520021,(ite (>= (+ var1 var0) (sign var1)) A0 A2)
1681.7055984189956,(ite (>= (sign (+ var1 (sign (+ var0 (- var0))))) (+ var0 var1)) A2 A0)
1689.0385498899952,(ite (>= (sign (+ var1 (sign (+ var0 (- var0))))) (+ var1 var0)) A2 A0)
1711.3921612779966,(ite (>= (sign (+ var1 (sign (+ var1 (- var1))))) (+ var0 var1)) A2 A0)
1718.733171636997,(ite (>= (sign (+ var1 (sign (+ var1 (- var1))))) (+ var1 var0)) A2 A0)
1791.4915313999952,(ite (>= (+ var0 (sign (+ (sign var1) (- (+ var0 var1))))) var0) A2 A0)
1806.8123165619947,(ite (>= (+ var0 (sign (+ (sign var1) (- (+ var1 var0))))) var0) A2 A0)
1840.4676080209929,(ite (>= (+ var1 (sign (+ (sign var1) (- (+ var0 var1))))) var0) A2 A0)
1847.8234776989927,(ite (>= (+ var1 (sign (+ (sign var1) (- (+ var0 var1))))) var1) A2 A0)
1855.1507475309925,(ite (>= (+ var1 (sign (+ (sign var1) (- (+ var1 var0))))) var0) A2 A0)
1862.5457014829926,(ite (>= (+ var1 (sign (+ (sign var1) (- (+ var1 var0))))) var1) A2 A0)
1894.7888457469892,(ite (>= (+ var0 var1) (sign (+ var1 (sign (+ var0 (- var0)))))) A0 A2)
1903.6650489039898,(ite (>= (+ var0 var1) (sign (+ var1 (sign (+ var1 (- var1)))))) A0 A2)
1914.1677342119906,(ite (>= (+ var1 var0) (sign (+ var1 (sign (+ var0 (- var0)))))) A0 A2)
1923.076407965993,(ite (>= (+ var1 var0) (sign (+ var1 (sign (+ var1 (- var1)))))) A0 A2)
1925.5486142329946,(ite (>= (+ var1 var0) (sign (+ var1 (sign (+ var1 (- var1)))))) A0 A2)
