time,program
6.517983179000112,(ite (>= -1 -1) A2 A2)
12.943677931000366,(ite (>= -1 0) A2 A0)
23.04384606200074,(ite (>= (* var0 2) 1) (ite (>= (* var0 3) var1) A1 A2) A2)
29.523309044000598,(ite (>= -1 0) A2 A2)
39.67703421200076,(ite (>= (* var0 5) 3) (ite (>= (* var0 3) var1) A1 A2) A2)
46.14867285100081,(ite (>= -1 -1) A2 A1)
56.36241381600121,(ite (>= (* var1 2) 1) (ite (>= (* var0 3) var1) A1 A2) A2)
66.61066237700152,(ite (>= (* var1 5) 1) (ite (>= (* var1 3) var0) A1 A2) A2)
76.86194579400171,(ite (>= (* var1 5) 3) (ite (>= (* var0 3) var1) A1 A2) A2)
87.16442010700166,(ite (>= (* var1 5) 2) (ite (>= (* var0 3) var1) A1 A2) A2)
93.56786595500171,(ite (>= -1 0) A2 A1)
98.02568167400204,A2
104.53560725100215,(ite (>= var0 var0) A0 A0)
111.85545462200207,(ite (>= (* var0 2) 1) A1 A0)
120.00987264100195,(ite (>= (+ var0 2) (* var1 4)) A0 A1)
126.56667146200198,(ite (>= var1 var0) A0 A0)
133.90797410100186,(ite (>= (* var1 2) 1) A1 A0)
142.0902012580018,(ite (>= (+ var0 2) (* var0 4)) A0 A1)
150.19542843400177,(ite (>= (+ var1 2) (* var1 4)) A0 A1)
158.34646241100154,(ite (>= (+ var1 2) (* var0 4)) A0 A1)
168.10226520900142,(ite (>= (+ var1 (sign (+ var0 (- var1)))) 1) A1 A0)
177.86852243800058,(ite (>= (+ var1 (sign (+ var1 (- var0)))) 1) A1 A0)
186.31934969800022,(ite (>= -1 0) (ite (>= -1 -1) A0 A0) A1)
194.76710005600034,(ite (>= var1 var1) (ite (>= -1 -1) A0 A0) A1)
203.3060908389998,(ite (>= var1 var0) (ite (>= -1 -1) A0 A0) A1)
211.81045296999946,(ite (>= -1 -1) (ite (>= -1 -1) A0 A0) A1)
221.55165410499922,(ite (>= (+ var0 (sign (+ var1 (- var1)))) 1) A1 A0)
225.89271809099864,A1
235.4519256629983,(ite (>= (+ var0 (sign (+ var0 (- var1)))) 1) A1 A0)
244.99212800499754,(ite (>= (+ var1 (sign (+ var1 (- var1)))) 1) A1 A0)
254.0771036929982,(ite (>= (* var0 -2) -1) A2 (ite (>= var0 var0) A0 A2))
263.21266624599775,(ite (>= (* var1 -2) -1) A2 (ite (>= var0 var0) A0 A2))
272.29557184299847,(ite (>= (* var0 -5) -2) A2 (ite (>= -1 0) A1 A1))
281.4391001589984,(ite (>= (* var0 -5) -1) A2 (ite (>= -1 0) A1 A1))
287.78964556199753,(ite (>= var1 var0) A0 A1)
296.9022275909974,(ite (>= (* var1 -2) -1) A2 (ite (>= -1 0) A1 A0))
304.8029449609967,(ite (>= (* -3 (+ var0 var1)) -2) A2 A0)
314.0298390909966,(ite (>= (* var1 -2) -1) A1 (ite (>= -1 0) A1 A0))
321.92041302699727,(ite (>= (* -5 (+ var1 var1)) -4) A2 A0)
330.98370899399833,(ite (>= (* var0 -2) -1) A1 (ite (>= -1 0) A1 A0))
339.7553545169985,(ite (>= (* -3 (+ 4 (+ var0 5))) -2) A1 A0)
348.50251529399884,(ite (>= (* -3 (+ 4 (+ var1 5))) -2) A1 A0)
357.309673157999,(ite (>= (* -3 (+ 5 (* var1 -2))) -2) A1 A0)
366.87250597599905,(ite (>= (* (ite (>= -1 0) (- var1) var1) 3) 1) A1 A0)
376.957018479,(ite (>= (* (sign (+ (- var0) (+ var0 var1))) 4) 1) A0 A1)
386.3721673709997,(ite (>= (* (ite (>= var1 var0) (- var1) var0) 3) 1) A1 A0)
393.32701392800027,(ite (>= var0 (+ var0 var1)) A0 A1)
402.6802070880003,(ite (>= (* (ite (>= var0 var1) (- var1) var1) 3) 1) A1 A0)
411.3782859110006,(ite (>= (* -3 (+ 5 (* var0 -2))) -2) A1 A0)
420.71536158100116,(ite (>= (* (ite (>= var1 var1) (- var1) var1) 3) 1) A1 A0)
430.4426227040012,(ite (>= (* var1 (+ var1 5)) 5) (ite (>= -1 0) A1 A1) A2)
440.20367193900074,(ite (>= (* -2 (* var0 -3)) 1) (ite (>= -1 0) A2 A1) A2)
449.94979489100115,(ite (>= (* -3 (* var1 var0)) -1) (ite (>= -1 0) A2 A1) A2)
459.70810189400163,(ite (>= (* -3 (* var1 3)) -5) (ite (>= -1 0) A2 A1) A2)
469.02766531900124,(ite (>= (* (ite (>= -1 -1) (- var1) var1) -3) -2) A0 A2)
478.70098404000237,(ite (>= (* var1 (+ var0 5)) 5) (ite (>= -1 0) A1 A1) A2)
488.4073268850034,(ite (>= (* -3 (* var0 var1)) -1) (ite (>= -1 0) A2 A1) A2)
498.10293693100266,(ite (>= (* var0 (+ var0 5)) 5) (ite (>= -1 0) A1 A1) A2)
507.88999955200234,(ite (>= (* -2 (* var1 -3)) 1) (ite (>= -1 0) A2 A1) A2)
517.2768805010028,(ite (>= (* (ite (>= -1 -1) (- var0) var1) -3) -2) A0 A2)
527.4118191080033,(ite (>= (* (sign (+ var0 (* var1 (- var0)))) 4) 3) A1 A2)
537.5508447760021,(ite (>= (* (sign (+ (- var1) (+ var1 var0))) 4) 3) A1 A2)
547.7150452160022,(ite (>= (* (sign (+ var1 (* var1 (- var0)))) 4) 3) A1 A2)
557.7903251780017,(ite (>= (* (sign (+ (- var1) (+ var0 var1))) 4) 3) A1 A2)
567.8327769440011,(ite (>= (* (sign (+ (- var1) (+ var1 var1))) 4) 3) A1 A2)
577.9303174410015,(ite (>= (* (sign (+ (- var0) (+ var0 var0))) 4) 3) A1 A2)
587.985667805001,(ite (>= (* (sign (+ (- var0) (+ var1 var1))) 4) 3) A1 A2)
598.0698343900012,(ite (>= (* (sign (+ (- var0) (+ var0 var1))) 4) 3) A1 A2)
608.222946453001,(ite (>= (* (sign (+ var0 (* var0 (- var0)))) 4) 3) A1 A2)
617.6347811200003,(ite (>= (* (ite (>= -1 -1) var1 (- var1)) 3) 1) A0 A2)
625.8565387569997,(ite (>= -1 -1) A0 (ite (>= -1 -1) A2 A2))
634.0314397139991,(ite (>= -1 -1) A1 (ite (>= -1 -1) A2 A2))
642.1396193879982,(ite (>= -1 0) A2 (ite (>= -1 -1) A2 A2))
650.3052133419988,(ite (>= var1 var1) A0 (ite (>= -1 -1) A2 A2))
658.4080335909985,(ite (>= -1 -1) A1 (ite (>= var0 var0) A0 A0))
666.5827437729986,(ite (>= var1 var1) A1 (ite (>= -1 -1) A2 A2))
672.8501444709991,(ite (>= var1 var0) A2 A2)
681.0393853269998,(ite (>= var1 var0) A0 (ite (>= -1 -1) A2 A2))
689.1916960520002,(ite (>= var0 var1) A1 (ite (>= -1 -1) A2 A2))
697.3447022740002,(ite (>= var0 var0) A0 (ite (>= -1 -1) A2 A2))
703.6099848550002,(ite (>= var0 var0) A2 A2)
709.8468685029993,(ite (>= var0 var1) A2 A0)
719.5329969749992,(ite (>= var0 (* (sign (+ -1 (+ var1 var1))) 5)) A2 A2)
729.2357816999984,(ite (>= var1 (* (sign (+ var0 (* var1 -5))) 5)) A2 A2)
738.8179362269984,(ite (>= var1 (* (sign (+ var1 (* var1 -2))) 5)) A2 A2)
746.6334706109983,(ite (>= (* -2 (+ var0 var0)) -3) A0 A0)
756.2593879079977,(ite (>= var0 (* (sign (+ var0 (* var0 -5))) 5)) A2 A2)
765.8278743439978,(ite (>= var0 (* (sign (+ -1 (+ var0 var1))) 5)) A2 A2)
775.5094843849974,(ite (>= var1 (* (sign (+ var0 (* var0 -5))) 5)) A2 A2)
781.7610034829977,(ite (>= -1 0) A0 A0)
791.5027776549978,(ite (>= (+ var0 var0) var0) A1 (ite (>= (* var1 5) 1) A0 A2))
801.183100080998,(ite (>= (+ var1 var1) var0) A2 (ite (>= (* var1 3) 1) A2 A2))
810.8390898069983,(ite (>= (* var0 var0) var1) A1 (ite (>= (* var1 3) 1) A2 A2))
820.5190846959986,(ite (>= (* var1 var1) var0) A1 (ite (>= (* var0 5) 1) A0 A2))
830.1521620859985,(ite (>= (* var1 var0) var1) A1 (ite (>= (* var1 3) 1) A2 A2))
1617.2525569239897,(ite (>= (* var1 var1) (sign (+ (- var1) (* var1 var1)))) A2 A0)
1687.3296157219902,(ite (>= (+ var0 (* var1 4)) var0) A2 A0)
1739.9330562209816,(ite (>= var1 (* var0 var1)) A2 (ite (>= -1 0) A1 A0))
1771.0959669859785,(ite (>= (sign (+ (- var0) (+ var0 var1))) var0) A2 A0)
1806.5362386569896,(ite (>= (sign (+ (- var1) (+ var1 var1))) var0) A2 A0)
2686.5949108349514,(ite (>= var0 (sign (+ (- var0) (+ var1 var0)))) A0 A2)
2912.1237374869843,(ite (>= var0 (sign (+ var1 (* var1 (- var1))))) A0 A2)
3158.026227414013,(ite (>= (sign (+ var1 (* var1 (- var0)))) var0) A2 A0)
3584.3443291869844,(ite (>= (sign (+ var1 (* var1 (- var0)))) var0) A2 A0)
