time,program
4.411083156999666,A0
8.85128487199836,A2
13.220128274997478,A1
19.800293315996896,(ite (>= -1 -1) A2 A2)
26.372233078996942,(ite (>= -1 -1) A2 A0)
32.92550938899876,(ite (>= -1 -1) A2 A1)
39.52968721899924,(ite (>= -1 -1) A0 A2)
46.109860458000185,(ite (>= -1 -1) A0 A0)
52.707018803999745,(ite (>= -1 -1) A0 A1)
59.26739383600034,(ite (>= -1 -1) A1 A2)
65.81969594499787,(ite (>= -1 -1) A1 A0)
72.44776613299837,(ite (>= -1 -1) A1 A1)
78.99158522199832,(ite (>= -1 0) A2 A2)
85.54146980099904,(ite (>= -1 0) A2 A0)
92.05498205699769,(ite (>= -1 0) A2 A1)
98.61800564099758,(ite (>= -1 0) A0 A2)
105.18666699699861,(ite (>= -1 0) A0 A0)
111.69276322199767,(ite (>= -1 0) A0 A1)
118.25727212899801,(ite (>= -1 0) A1 A2)
124.78695390699795,(ite (>= -1 0) A1 A0)
131.35642943799758,(ite (>= -1 0) A1 A1)
137.94920586799708,(ite (>= var0 var0) A2 A2)
144.53982573799476,(ite (>= var0 var0) A2 A0)
151.0924563629942,(ite (>= var0 var0) A2 A1)
157.64847559099508,(ite (>= var0 var0) A0 A2)
164.2437453459952,(ite (>= var0 var0) A0 A0)
170.81118133899508,(ite (>= var0 var0) A0 A1)
177.40239681999628,(ite (>= var0 var0) A1 A2)
183.96808597299605,(ite (>= var0 var0) A1 A0)
190.57187140899623,(ite (>= var0 var0) A1 A1)
197.14793683699645,(ite (>= var0 var1) A2 A2)
203.73127919199578,(ite (>= var0 var1) A2 A0)
210.23228877499423,(ite (>= var0 var1) A2 A1)
216.76515364299485,(ite (>= var0 var1) A0 A2)
223.37129717699463,(ite (>= var0 var1) A0 A0)
229.88148069999443,(ite (>= var0 var1) A0 A1)
236.47620557899427,(ite (>= var0 var1) A1 A2)
243.02058048499384,(ite (>= var0 var1) A1 A0)
249.62183352799366,(ite (>= var0 var1) A1 A1)
256.22100089399464,(ite (>= var1 var0) A2 A2)
262.857639156995,(ite (>= var1 var0) A2 A0)
269.4380578389955,(ite (>= var1 var0) A2 A1)
275.98327294899536,(ite (>= var1 var0) A0 A2)
282.6424424379966,(ite (>= var1 var0) A0 A0)
289.2010715979959,(ite (>= var1 var0) A0 A1)
295.7616612529946,(ite (>= var1 var0) A1 A2)
302.2968579349945,(ite (>= var1 var0) A1 A0)
308.8962558869953,(ite (>= var1 var0) A1 A1)
315.5104783799943,(ite (>= var1 var1) A2 A2)
322.09777042499445,(ite (>= var1 var1) A2 A0)
328.71659807999276,(ite (>= var1 var1) A2 A1)
335.2900497759929,(ite (>= var1 var1) A0 A2)
341.9468195809932,(ite (>= var1 var1) A0 A0)
348.5263706819951,(ite (>= var1 var1) A0 A1)
355.1437232779954,(ite (>= var1 var1) A1 A2)
361.7106040269955,(ite (>= var1 var1) A1 A0)
368.39957193799455,(ite (>= var1 var1) A1 A1)
375.77982360499664,(ite (>= var0 (+ var0 var0)) A2 A2)
383.2192316619985,(ite (>= var0 (+ var0 var0)) A2 A0)
390.56460441499803,(ite (>= var0 (+ var0 var0)) A2 A1)
397.93326871299905,(ite (>= var0 (+ var0 var0)) A0 A2)
405.2687139619993,(ite (>= var0 (+ var0 var0)) A0 A0)
412.6405035299995,(ite (>= var0 (+ var0 var0)) A0 A1)
420.00282578899896,(ite (>= var0 (+ var0 var0)) A1 A2)
427.3699218899983,(ite (>= var0 (+ var0 var0)) A1 A0)
434.62316057099815,(ite (>= var0 (+ var0 var0)) A1 A1)
441.86247449799885,(ite (>= var0 (+ var0 var1)) A2 A2)
449.0847913680009,(ite (>= var0 (+ var0 var1)) A2 A0)
456.1928986610001,(ite (>= var0 (+ var0 var1)) A2 A1)
456.21871242900124,(ite (>= var0 (+ var0 var1)) A0 A2)
490.378223004991,(ite (>= var1 (* var0 var1)) A2 A0)
495.8104887210011,(ite (>= var1 (* var1 var0)) A2 A0)
529.8160050720035,(ite (>= (+ var0 var1) var0) A2 A0)
535.6483990140096,(ite (>= (+ var1 var0) var0) A2 A0)
541.9552627619996,(ite (>= (+ var1 var1) var1) A2 A0)
577.3175691529832,(ite (>= (* var1 5) var1) A2 A0)
584.192923077986,(ite (>= (* var1 4) var1) A2 A0)
597.3304176359852,(ite (>= (* var1 3) var1) A2 A0)
603.6681450089891,(ite (>= (* var1 2) var1) A2 A0)
847.4876944370098,(ite (>= var1 (* var0 (+ var1 var1))) A2 A0)
865.8012510540066,(ite (>= var1 (* var0 (* var1 var1))) A2 A0)
888.9699926720077,(ite (>= var1 (* 5 (* var1 var1))) A2 A0)
913.0258445610034,(ite (>= var1 (* 4 (* var1 var1))) A2 A0)
918.214031724001,(ite (>= var1 (* var1 (+ var0 var0))) A2 A0)
929.2175749220005,(ite (>= var1 (* var1 (+ var0 var1))) A2 A0)
942.502946159002,(ite (>= var1 (* var1 (+ var1 var0))) A2 A0)
953.4501593429959,(ite (>= var1 (* var1 (+ var1 var1))) A2 A0)
976.0240692359912,(ite (>= var1 (* var1 (* var0 var1))) A2 A0)
981.3054012499852,(ite (>= var1 (* var1 (* var1 var0))) A2 A0)
986.5182169139862,(ite (>= var1 (* var1 (* var1 var1))) A2 A0)
1022.1176286839836,(ite (>= var1 (* 3 (* var1 var1))) A2 A0)
1035.4478238769789,(ite (>= var1 (* 2 (* var0 var1))) A2 A0)
1040.729866509977,(ite (>= var1 (* 2 (* var1 var0))) A2 A0)
1045.9898917679802,(ite (>= var1 (* 2 (* var1 var1))) A2 A0)
1194.439503760008,(ite (>= (+ var1 var1) (* var0 var1)) A2 A0)
1200.2585299280054,(ite (>= (+ var1 var1) (* var1 var0)) A2 A0)
1216.9240119810092,(ite (>= (+ var1 var1) (* var1 var1)) A2 A0)
1308.737162778014,(ite (>= (* var1 5) (+ var1 var1)) A2 A0)
1319.1974384630175,(ite (>= (* var1 4) (+ var1 var1)) A2 A0)
1339.947698624028,(ite (>= (* var1 3) (+ var1 var1)) A2 A0)
1433.3096133010513,(ite (>= (* -5 (* var1 -5)) var1) A2 A0)
1450.8434074720535,(ite (>= (* -2 (* var1 -5)) var1) A2 A0)
1493.9690755240554,(ite (>= (* 4 (+ var1 var1)) var1) A2 A0)
1526.6245148490798,(ite (>= (* var1 (+ var0 5)) var1) A2 A0)
1534.786055889077,(ite (>= (* var1 (+ var0 4)) var1) A2 A0)
1550.4577238230595,(ite (>= (* var1 (+ var0 3)) var1) A2 A0)
1580.356540376075,(ite (>= (* var1 (+ var1 5)) var1) A2 A0)
1588.5188026020733,(ite (>= (* var1 (+ var1 4)) var1) A2 A0)
1604.0308196850765,(ite (>= (* var1 (+ var1 3)) var1) A2 A0)
1611.6009893590908,(ite (>= (* var1 (+ var1 2)) var1) A2 A0)
1660.6195860991174,(ite (>= (* -3 (* var1 -5)) var1) A2 A0)
1668.2297838151226,(ite (>= (* -3 (* var1 -3)) var1) A2 A0)
1674.709809805112,(ite (>= (* -3 (* var1 -4)) var1) A2 A0)
1692.0875734391084,(ite (>= (* 3 (+ var1 var1)) var1) A2 A0)
1721.0282582020973,(ite (>= (* 2 (+ var1 var1)) var1) A2 A0)
1762.7313882081344,(ite (>= (* -4 (* var1 -5)) var1) A2 A0)
1771.0414019381278,(ite (>= (* -4 (* var1 -4)) var1) A2 A0)
1783.3484999351385,(ite (>= (+ var0 (+ var1 var1)) var0) A2 A0)
1818.178178596143,(ite (>= (+ var0 (* var1 5)) var0) A2 A0)
1824.0660622431424,(ite (>= (+ var0 (* var1 4)) var0) A2 A0)
1838.106322050142,(ite (>= (+ var0 (* var1 3)) var0) A2 A0)
1843.9878051781398,(ite (>= (+ var0 (* var1 2)) var0) A2 A0)
1858.6870891431463,(ite (>= (+ var1 (+ var0 var1)) var0) A2 A0)
1865.7766238521508,(ite (>= (+ var1 (+ var1 var0)) var0) A2 A0)
1873.3870457591456,(ite (>= (+ var1 (+ var1 var1)) var1) A2 A0)
1908.0625267131727,(ite (>= (+ var1 (* var1 5)) var1) A2 A0)
1914.0042462751699,(ite (>= (+ var1 (* var1 4)) var1) A2 A0)
1928.0083731151772,(ite (>= (+ var1 (* var1 3)) var1) A2 A0)
1933.8935762631718,(ite (>= (+ var1 (* var1 2)) var1) A2 A0)
1962.2899294492017,(ite (>= var1 (* var0 (+ var0 (- var0)))) A2 A0)
1969.1439276231977,(ite (>= var1 (* var0 (+ var1 (- var1)))) A2 A0)
1974.830841412193,(ite (>= var1 (* -5 (+ var0 (- var0)))) A2 A0)
1981.7070281041943,(ite (>= var1 (* -5 (+ var1 (- var1)))) A2 A0)
1987.405906058193,(ite (>= var1 (* -2 (+ var0 (- var0)))) A2 A0)
1994.305123171198,(ite (>= var1 (* -2 (+ var1 (- var1)))) A2 A0)
1999.9561351982047,(ite (>= var1 (* var1 (+ var0 (- var0)))) A2 A0)
2005.5768853462032,(ite (>= var1 (* var1 (+ var0 (- var1)))) A2 A0)
2016.9792524722088,(ite (>= var1 (* var1 (+ var1 (- var1)))) A2 A0)
2022.5921199052063,(ite (>= var1 (* -3 (+ var0 (- var0)))) A2 A0)
2029.4534321701958,(ite (>= var1 (* -3 (+ var1 (- var1)))) A2 A0)
2035.0757309051933,(ite (>= var1 (* -4 (+ var0 (- var0)))) A2 A0)
2041.9079796241876,(ite (>= var1 (* -4 (+ var1 (- var1)))) A2 A0)
2293.438819164232,(ite (>= (* (- var1) (+ var0 -5)) var1) A2 A0)
2299.709119509229,(ite (>= (* (- var1) (+ var0 -2)) var1) A2 A0)
2305.96853003823,(ite (>= (* (- var1) (+ var0 -3)) var1) A2 A0)
2312.251723995234,(ite (>= (* (- var1) (+ var0 -4)) var1) A2 A0)
2318.5281929542307,(ite (>= (* (- var1) (+ var1 -5)) var1) A2 A0)
2324.77885088923,(ite (>= (* (- var1) (+ var1 -2)) var1) A2 A0)
2331.0837305562254,(ite (>= (* (- var1) (+ var1 -3)) var1) A2 A0)
2337.3413355492266,(ite (>= (* (- var1) (+ var1 -4)) var1) A2 A0)
2870.105243336253,(ite (>= var1 (* var0 var1)) A2 (ite (>= -1 -1) A0 A2))
2875.5748530482524,(ite (>= var1 (* var0 var1)) A2 (ite (>= -1 -1) A0 A0))
2880.990085731253,(ite (>= var1 (* var0 var1)) A2 (ite (>= -1 -1) A0 A1))
2886.7666947702546,(ite (>= var1 (* var0 var1)) A2 (ite (>= -1 0) A2 A0))
2892.341297263254,(ite (>= var1 (* var0 var1)) A2 (ite (>= -1 0) A0 A0))
2897.9121289452523,(ite (>= var1 (* var0 var1)) A2 (ite (>= -1 0) A1 A0))
2903.5908737442514,(ite (>= var1 (* var0 var1)) A2 (ite (>= var0 var0) A0 A2))
2908.965224410251,(ite (>= var1 (* var0 var1)) A2 (ite (>= var0 var0) A0 A0))
2914.328623419251,(ite (>= var1 (* var0 var1)) A2 (ite (>= var0 var0) A0 A1))
2920.032475850252,(ite (>= var1 (* var0 var1)) A2 (ite (>= var0 var1) A2 A0))
2925.5697181892538,(ite (>= var1 (* var0 var1)) A2 (ite (>= var0 var1) A0 A0))
2931.124468424254,(ite (>= var1 (* var0 var1)) A2 (ite (>= var0 var1) A1 A0))
2936.8415629162537,(ite (>= var1 (* var0 var1)) A2 (ite (>= var1 var0) A0 A2))
2942.266459389253,(ite (>= var1 (* var0 var1)) A2 (ite (>= var1 var0) A0 A0))
2947.649710871254,(ite (>= var1 (* var0 var1)) A2 (ite (>= var1 var0) A0 A1))
2953.5148494492532,(ite (>= var1 (* var0 var1)) A2 (ite (>= var1 var1) A0 A2))
2958.946059179254,(ite (>= var1 (* var0 var1)) A2 (ite (>= var1 var1) A0 A0))
2964.315231644254,(ite (>= var1 (* var0 var1)) A2 (ite (>= var1 var1) A0 A1))
